Epoch Time,Value
1704105621000,1
1704105640000,0
1704105646000,0
1704105660000,0
1704105676000,0
1704105681000,0
1704105700000,1
1704105706000,1
1704105720000,1
1704105741000,1
1704105753000,1
1704105760000,1
1704105780000,1
1704105801000,1
1704105805000,1
1704105815000,1
1704105821000,1
1704105840000,1
1704105861000,1
1704105869000,1
1704105875000,1
1704105881000,1
1704105900000,1
1704105921000,1
1704105932000,1
1704105933000,1
1704105941000,1
1704105960000,1
1704105981000,1
1704105991000,1
1704105997000,1
1704106002000,1
1704106020000,1
1704106041000,1
1704106052000,1
1704106061000,1
1704106062000,1
1704106080000,1
1704106101000,1
1704106114000,1
1704106123000,0
1704106126000,0
1704106140000,0
1704106161000,0
1704106175000,0
1704106183000,0
1704106191000,0
1704106200000,0
1704106221000,0
1704106234000,0
1704106243000,1
1704106256000,1
1704106260000,1
1704106281000,1
1704106293000,1
1704106304000,1
1704106320000,1
1704106321000,1
1704106341000,1
1704106355000,1
1704106364000,1
1704106380000,1
1704106385000,1
1704106401000,1
1704106413000,1
1704106424000,0
1704106440000,0
1704106449000,0
1704106461000,0
1704106473000,0
1704106485000,0
1704106500000,0
1704106513000,0
1704106521000,0
1704106532000,0
1704106545000,0
1704106560000,0
1704106577000,0
1704106581000,0
1704106594000,0
1704106606000,1
1704106620000,1
1704106641000,1
1704106653000,1
1704106666000,1
1704106680000,1
1704106701000,1
1704106706000,1
1704106715000,1
1704106726000,1
1704106740000,1
1704106761000,1
1704106771000,1
1704106775000,1
1704106787000,1
1704106800000,1
1704106821000,1
1704106832000,1
1704106835000,1
1704106847000,1
1704106860000,1
1704106881000,1
1704106894000,1
1704106900000,1
1704106907000,1
1704106920000,1
1704106941000,1
1704106955000,1
1704106964000,1
1704106968000,1
1704106980000,1
1704107001000,1
1704107013000,1
1704107028000,1
1704107040000,1
1704107061000,1
1704107070000,1
1704107088000,0
1704107092000,0
1704107100000,0
1704107121000,0
1704107133000,0
1704107149000,1
1704107156000,1
1704107160000,1
1704107181000,1
1704107194000,1
1704107209000,0
1704107220000,0
1704107241000,0
1704107251000,0
1704107269000,1
1704107280000,1
1704107284000,1
1704107301000,1
1704107312000,1
1704107330000,0
1704107340000,0
1704107349000,0
1704107361000,0
1704107374000,0
1704107390000,1
1704107400000,1
1704107414000,1
1704107421000,1
1704107432000,1
1704107450000,1
1704107460000,1
1704107479000,1
1704107481000,1
1704107493000,1
1704107511000,0
1704107520000,0
1704107541000,0
1704107543000,0
1704107555000,0
1704107571000,1
1704107580000,1
1704107601000,1
1704107607000,1
1704107612000,1
1704107632000,1
1704107640000,1
1704107661000,1
1704107671000,1
1704107673000,1
